Time (UTC);Open;High;Low;Close;Volume 
2019.03.01 00:00:00;3851,5;3852,4;3851;3851,9;0,335
2019.03.01 00:01:00;3851,8;3853,6;3851,8;3852,5;0,37305
2019.03.01 00:02:00;3852,5;3853,1;3852,4;3852,4;0,2025
2019.03.01 00:03:00;3852,4;3852,7;3852,4;3852,5;0,1125
2019.03.01 00:04:00;3852,5;3853,5;3852,5;3853,5;0,1575
2019.03.01 00:05:00;3853,3;3854,2;3852,6;3853,7;0,36
2019.03.01 00:06:00;3853,8;3854,2;3853,3;3854;0,345
2019.03.01 00:07:00;3853,9;3855;3853,9;3854,7;0,21502
2019.03.01 00:08:00;3854,9;3855,2;3854,9;3855,2;0,07502
2019.03.01 00:09:00;3855,3;3855,8;3855,3;3855,8;0,02775
2019.03.01 00:10:00;3855,8;3856;3855,6;3855,7;0,0676
2019.03.01 00:11:00;3855,8;3855,9;3855,6;3855,8;0,165
2019.03.01 00:12:00;3855,7;3855,9;3855,5;3855,7;0,1875
2019.03.01 00:13:00;3855,5;3855,5;3854,9;3855;0,075
2019.03.01 00:14:00;3854,9;3855,4;3854,8;3855,2;0,225
2019.03.01 00:15:00;3855,3;3856,1;3855,2;3855,8;0,1425
2019.03.01 00:16:00;3855,8;3856,4;3855,8;3856,3;0,2475
2019.03.01 00:17:00;3856,4;3856,8;3856,3;3856,4;0,285
2019.03.01 00:18:00;3856,3;3856,6;3856,3;3856,3;0,315
2019.03.01 00:19:00;3856,4;3856,9;3856,3;3856,6;0,225
2019.03.01 00:20:00;3856,8;3857,1;3856,6;3856,6;0,135
2019.03.01 00:21:00;3856,5;3857,1;3856,5;3857,1;0,105
2019.03.01 00:22:00;3857,2;3857,5;3856,8;3857,2;0,28768
2019.03.01 00:23:00;3857,4;3857,5;3857;3857,3;0,1502
2019.03.01 00:24:00;3857,3;3857,5;3857;3857,1;0,12
2019.03.01 00:25:00;3857,3;3857,5;3857,2;3857,3;0,18
2019.03.01 00:26:00;3857,4;3857,6;3857,3;3857,5;0,1575
2019.03.01 00:27:00;3857,6;3857,9;3857,6;3857,9;0,0825
2019.03.01 00:28:00;3857,8;3857,9;3857,6;3857,7;0,09
2019.03.01 00:29:00;3857,8;3858;3857,7;3857,8;0,15
2019.03.01 00:30:00;3857,6;3857,9;3857,2;3857,3;0,195
2019.03.01 00:31:00;3857,4;3857,7;3857,4;3857,4;0,15
2019.03.01 00:32:00;3857,4;3859,3;3857,2;3859,2;0,17272
2019.03.01 00:33:00;3859;3859,4;3857,4;3858,9;0,42002
2019.03.01 00:34:00;3858,9;3858,9;3857,7;3857,7;0,225
2019.03.01 00:35:00;3857,8;3857,8;3857,6;3857,7;0,12502
2019.03.01 00:36:00;3857,7;3857,7;3857,6;3857,7;0,04757
2019.03.01 00:37:00;3857,7;3857,9;3857,6;3857,6;0,12005
2019.03.01 00:38:00;3857,7;3858,7;3857,7;3858,6;0,25
2019.03.01 00:39:00;3858,5;3858,8;3858,3;3858,8;0,25293
2019.03.01 00:40:00;3858,9;3858,9;3857,6;3857,8;0,06325
2019.03.01 00:41:00;3857,8;3858,1;3857,4;3857,5;0,1575
2019.03.01 00:42:00;3857,6;3858,7;3857,3;3858;0,1825
2019.03.01 00:43:00;3857,9;3858,3;3857,7;3857,8;0,1675
2019.03.01 00:44:00;3857,5;3857,8;3857,5;3857,5;0,08267
2019.03.01 00:45:00;3857,3;3857,4;3856,3;3856,7;0,2625
2019.03.01 00:46:00;3856,7;3857,2;3856,7;3857;0,1725
2019.03.01 00:47:00;3857,1;3857,1;3856,8;3856,8;0,06
2019.03.01 00:48:00;3856,8;3857,2;3856,8;3857,2;0,06
2019.03.01 00:49:00;3857;3857,6;3857;3857,5;0,14005
2019.03.01 00:50:00;3857,6;3858;3857,5;3858;0,04537
2019.03.01 00:51:00;3858;3858,3;3857,5;3857,5;0,01798
2019.03.01 00:52:00;3857,5;3857,8;3857,3;3857,3;0,03805
2019.03.01 00:53:00;3857,3;3857,3;3857,1;3857,1;0,0225
2019.03.01 00:54:00;3857;3857,4;3856,3;3856,9;0,09515
2019.03.01 00:55:00;3857;3857,4;3856,9;3857,3;0,05502
2019.03.01 00:56:00;3857,4;3857,4;3855,8;3855,8;0,2701
2019.03.01 00:57:00;3856;3856,4;3855,8;3855,9;0,2625
2019.03.01 00:58:00;3856;3856;3855,6;3855,9;0,285
2019.03.01 00:59:00;3855,8;3855,9;3854,5;3854,9;0,28505
2019.03.01 01:00:00;3854,9;3855,1;3854,8;3854,9;0,14552
2019.03.01 01:01:00;3854,8;3855;3854,7;3855;0,0926
2019.03.01 01:02:00;3854,9;3855;3854;3854,3;0,19515
2019.03.01 01:03:00;3854,4;3854,5;3853,2;3854,5;0,235
2019.03.01 01:04:00;3854,4;3854,8;3854,2;3854,2;0,165
2019.03.01 01:05:00;3854,1;3854,1;3852,5;3852,6;0,27
2019.03.01 01:06:00;3852,7;3853,2;3852,5;3853,1;0,18
2019.03.01 01:07:00;3853,2;3855;3853,2;3855;0,135
2019.03.01 01:08:00;3855;3855,2;3854,6;3854,7;0,09252
2019.03.01 01:09:00;3854,6;3854,7;3854,6;3854,7;0,045
2019.03.01 01:10:00;3854,6;3854,6;3853,9;3854,2;0,105
2019.03.01 01:11:00;3854,1;3854,1;3853,2;3853,5;0,09252
2019.03.01 01:12:00;3853,4;3853,8;3853,3;3853,8;0,0825
2019.03.01 01:13:00;3853,7;3854,2;3853,7;3854,2;0,09
2019.03.01 01:14:00;3854,1;3854,4;3854,1;3854,2;0,1125
2019.03.01 01:15:00;3854,1;3854,1;3853,8;3854,1;0,1425
2019.03.01 01:16:00;3853,9;3853,9;3853,5;3853,5;0,0975
2019.03.01 01:17:00;3853,5;3853,8;3853,5;3853,8;0,0675
2019.03.01 01:18:00;3853,8;3853,8;3853,6;3853,6;0,0375
2019.03.01 01:19:00;3853,5;3853,6;3852,5;3852,5;0,09
2019.03.01 01:20:00;3853,1;3853,1;3852;3852;0,1875
2019.03.01 01:21:00;3851,9;3853;3851,9;3853;0,195
2019.03.01 01:22:00;3852,9;3853,2;3852,7;3853;0,1125
2019.03.01 01:23:00;3853,1;3853,6;3853;3853,4;0,105
2019.03.01 01:24:00;3853,5;3853,6;3853,3;3853,3;0,0975
2019.03.01 01:25:00;3853,5;3853,6;3853,3;3853,3;0,0775
2019.03.01 01:26:00;3853,4;3853,6;3853,3;3853,6;0,09505
2019.03.01 01:27:00;3853,7;3853,8;3853;3853,5;0,07767
2019.03.01 01:28:00;3853,4;3853,9;3853,1;3853,3;0,15762
2019.03.01 01:29:00;3853,1;3853,5;3853,1;3853,3;0,1425
2019.03.01 01:30:00;3853;3853,6;3852,5;3853,6;0,2625
2019.03.01 01:31:00;3853,3;3855,5;3853,3;3855,4;0,17535
2019.03.01 01:32:00;3855,4;3857,4;3855,4;3857,4;0,11782
2019.03.01 01:33:00;3856,9;3856,9;3855,8;3856,5;0,285
2019.03.01 01:34:00;3856,6;3856,9;3856,5;3856,9;0,05513
2019.03.01 01:35:00;3856,9;3858,3;3856,9;3858,2;0,06788
2019.03.01 01:36:00;3858,3;3858,5;3858,3;3858,4;0,1025
2019.03.01 01:37:00;3858,3;3858,4;3858,1;3858,2;0,09
2019.03.01 01:38:00;3858,3;3859,4;3858,3;3859,3;0,21788
2019.03.01 01:39:00;3859,3;3859,7;3859,3;3859,7;0,00075
2019.03.01 01:40:00;3859,7;3860,1;3859,7;3860,1;0,01077
2019.03.01 01:41:00;3860,1;3861,3;3860,1;3861,3;0,00065
2019.03.01 01:42:00;3861,3;3861,6;3861,3;3861,6;0,0406
2019.03.01 01:43:00;3861,6;3863,4;3861,6;3863,4;0,00153
2019.03.01 01:44:00;3863,4;3863,8;3863,3;3863,8;0,11797
2019.03.01 01:45:00;3863,8;3863,8;3862,5;3862,6;0,11023
2019.03.01 01:46:00;3862,6;3862,8;3862,1;3862,8;0,0981
2019.03.01 01:47:00;3862,8;3863;3862,6;3863;0,00045
2019.03.01 01:48:00;3863;3863,2;3863;3863,2;0,05038
2019.03.01 01:49:00;3863,3;3863,3;3863,1;3863,2;0,0825
2019.03.01 01:50:00;3863,3;3863,6;3863,3;3863,4;0,07003
2019.03.01 01:51:00;3863,4;3863,4;3863,1;3863,1;0,0077
2019.03.01 01:52:00;3863,3;3864,1;3863,3;3863,6;0,10282
2019.03.01 01:53:00;3863,5;3863,5;3863,2;3863,3;0,12
2019.03.01 01:54:00;3863,4;3863,7;3863,3;3863,6;0,105
2019.03.01 01:55:00;3863,6;3864;3863,5;3863,5;0,09
2019.03.01 01:56:00;3863,4;3863,5;3862,8;3862,8;0,075
2019.03.01 01:57:00;3863;3863,1;3863;3863;0,06
2019.03.01 01:58:00;3862,9;3863,2;3862,8;3863,1;0,105
2019.03.01 01:59:00;3863;3863,3;3863;3863,2;0,0975
2019.03.01 02:00:00;3863,3;3863,6;3863,2;3863,5;0,15
2019.03.01 02:01:00;3863,5;3864,5;3863,5;3864,4;0,19005
2019.03.01 02:02:00;3863,9;3863,9;3863;3863;0,165
2019.03.01 02:03:00;3863;3863,4;3862,9;3863,3;0,18
2019.03.01 02:04:00;3863,2;3863,2;3863,1;3863,2;0,1125
2019.03.01 02:05:00;3863,1;3863,2;3862,8;3863;0,09
2019.03.01 02:06:00;3863,2;3863,3;3862,9;3863,3;0,0975
2019.03.01 02:07:00;3863;3863,7;3863;3863,7;0,105
2019.03.01 02:08:00;3863,8;3863,8;3863,4;3863,5;0,045
2019.03.01 02:09:00;3863,6;3863,6;3862,1;3862,2;0,2325
2019.03.01 02:10:00;3862,2;3862,4;3862;3862,1;0,1125
2019.03.01 02:11:00;3861,9;3862,2;3861,5;3862,2;0,24
2019.03.01 02:12:00;3862;3862,2;3861,6;3862;0,1725
2019.03.01 02:13:00;3862,1;3862,3;3861,8;3862;0,11005
2019.03.01 02:14:00;3861,8;3861,9;3861,7;3861,7;0,045
2019.03.01 02:15:00;3861,2;3861,5;3861;3861,4;0,135
2019.03.01 02:16:00;3861,3;3861,3;3861;3861;0,12
2019.03.01 02:17:00;3861,2;3861,2;3860,9;3861;0,045
2019.03.01 02:18:00;3860,9;3861;3860,8;3860,9;0,0675
2019.03.01 02:19:00;3861;3861;3860,9;3861;0,0525
2019.03.01 02:20:00;3861,1;3861,4;3858,9;3859,4;0,4125
2019.03.01 02:21:00;3859,3;3859,8;3859,1;3859,8;0,3225
2019.03.01 02:22:00;3859,8;3860,2;3859,7;3860,1;0,15
2019.03.01 02:23:00;3860,1;3860,8;3859,8;3860,7;0,24017
2019.03.01 02:24:00;3860,8;3861,2;3860,2;3860,2;0,135
2019.03.01 02:25:00;3860,3;3860,6;3860,1;3860,6;0,135
2019.03.01 02:26:00;3860,6;3860,6;3860;3860,4;0,1725
2019.03.01 02:27:00;3860,3;3860,5;3860,2;3860,5;0,1275
2019.03.01 02:28:00;3860,4;3860,5;3860,3;3860,4;0,0825
