Time (UTC);Open;High;Low;Close;Volume 
2019.03.01 00:00:00;3731,5;3732,7;3731,3;3732;0,14052
2019.03.01 00:01:00;3732;3733,7;3732;3733,3;0,29564
2019.03.01 00:02:00;3733,1;3733,7;3733,1;3733,6;0,00054
2019.03.01 00:03:00;3733,5;3733,6;3733,3;3733,3;0,0003
2019.03.01 00:04:00;3733,5;3734;3733,5;3734;0,00042
2019.03.01 00:05:00;3734;3734,3;3734;3734,3;0,00096
2019.03.01 00:06:00;3734,3;3734,8;3734,1;3734,3;0,00092
2019.03.01 00:07:00;3734,3;3735,1;3734,3;3735,1;0,07292
2019.03.01 00:08:00;3735,1;3735,7;3735,1;3735,7;0,06006
2019.03.01 00:09:00;3735,7;3736,1;3735,7;3735,9;0,09002
2019.03.01 00:10:00;3736;3736,7;3735,9;3736,7;0,03018
2019.03.01 00:11:00;3736,7;3736,7;3736,7;3736,7;0,00044
2019.03.01 00:12:00;3736,7;3736,7;3736,7;3736,7;0,0005
2019.03.01 00:13:00;3736,7;3736,7;3736;3736,2;0,0002
2019.03.01 00:14:00;3736,2;3736,2;3736,2;3736,2;0,0006
2019.03.01 00:15:00;3736,2;3736,5;3736,2;3736,3;0,00038
2019.03.01 00:16:00;3736,4;3736,9;3736,3;3736,9;0,00066
2019.03.01 00:17:00;3736,9;3737,1;3736,9;3737,1;0,00076
2019.03.01 00:18:00;3737,1;3737,2;3736,8;3737,2;0,00084
2019.03.01 00:19:00;3737,2;3737,4;3737,2;3737,4;0,0006
2019.03.01 00:20:00;3737,4;3737,4;3737;3737;0,00036
2019.03.01 00:21:00;3737;3737,4;3737;3737,3;0,00028
2019.03.01 00:22:00;3737,3;3737,7;3737;3737,7;0,10312
2019.03.01 00:23:00;3737,7;3737,7;3737,3;3737,3;0,08282
2019.03.01 00:24:00;3737,5;3737,5;3737,5;3737,5;0,0103
2019.03.01 00:25:00;3737,5;3737,8;3737,2;3737,7;0,01046
2019.03.01 00:26:00;3737,7;3738,4;3737,7;3738,3;0,00042
2019.03.01 00:27:00;3738,3;3738,5;3737,9;3738,5;0,00022
2019.03.01 00:28:00;3738,5;3738,6;3738,1;3738,6;0,00024
2019.03.01 00:29:00;3738,6;3739;3738,4;3738,8;0,0004
2019.03.01 00:30:00;3738,8;3738,8;3737,6;3737,9;0,00052
2019.03.01 00:31:00;3737,9;3738,1;3737,4;3737,4;0,01038
2019.03.01 00:32:00;3737,9;3739,5;3737,5;3739,5;0,10036
2019.03.01 00:33:00;3739,5;3739,7;3737,9;3739,1;0,03856
2019.03.01 00:34:00;3739;3739,1;3738,1;3738,1;0,0006
2019.03.01 00:35:00;3738,1;3738,1;3737,7;3738;0,02528
2019.03.01 00:36:00;3737,7;3737,8;3737,6;3737,8;0,0625
2019.03.01 00:37:00;3737,9;3738,3;3737,9;3738,3;0,01532
2019.03.01 00:38:00;3738,3;3738,8;3738,3;3738,6;0,03808
2019.03.01 00:39:00;3738,6;3739,1;3738,4;3739,1;0,27778
2019.03.01 00:40:00;3739,1;3739,3;3737,9;3737,9;0,2526
2019.03.01 00:41:00;3738,4;3738,5;3738;3738,5;0,00042
2019.03.01 00:42:00;3738,5;3738,7;3738,3;3738,6;0,01794
2019.03.01 00:43:00;3738,6;3738,7;3737,8;3737,8;0,00792
2019.03.01 00:44:00;3737,8;3737,9;3737,6;3737,9;0,10508
2019.03.01 00:45:00;3737,9;3737,9;3737,2;3737,4;0,0007
2019.03.01 00:46:00;3737,6;3737,7;3737,4;3737,4;0,00046
2019.03.01 00:47:00;3737,4;3737,4;3737,4;3737,4;0,00016
2019.03.01 00:48:00;3737,3;3737,4;3737,3;3737,4;0,00016
2019.03.01 00:49:00;3737,5;3737,7;3737,4;3737,7;0,06026
2019.03.01 00:50:00;3737,7;3738,2;3737,5;3738,1;0,14502
2019.03.01 00:51:00;3738,2;3738,4;3737,7;3737,8;0,15002
2019.03.01 00:52:00;3738,1;3738,3;3737,4;3737,4;0,18752
2019.03.01 00:53:00;3737,3;3737,3;3737,3;3737,3;0,01004
2019.03.01 00:54:00;3737,3;3737,4;3737;3737;0,07018
2019.03.01 00:55:00;3737,1;3737,7;3737,1;3737,7;0,01762
2019.03.01 00:56:00;3737,7;3737,7;3736,4;3736,5;0,1055
2019.03.01 00:57:00;3736,5;3736,7;3736,3;3736,7;0,0007
2019.03.01 00:58:00;3736,7;3736,7;3736,3;3736,6;0,00076
2019.03.01 00:59:00;3736,6;3736,6;3735;3735;0,02574
2019.03.01 01:00:00;3735,1;3735,6;3735;3735;0,23768
2019.03.01 01:01:00;3735;3735,1;3734,9;3735;0,07762
2019.03.01 01:02:00;3735;3735,1;3734,2;3734,3;0,13028
2019.03.01 01:03:00;3734,4;3734,7;3734,2;3734,7;0,0081
2019.03.01 01:04:00;3734,7;3735,1;3734,7;3734,8;0,00044
2019.03.01 01:05:00;3734,8;3734,8;3734,2;3734,2;0,00072
2019.03.01 01:06:00;3734,2;3734,6;3734;3734,2;0,00048
2019.03.01 01:07:00;3734,3;3735;3734,3;3735;0,02032
2019.03.01 01:08:00;3735,1;3735,5;3734,8;3734,8;0,0277
2019.03.01 01:09:00;3734,8;3734,8;3734,8;3734,8;0,00012
2019.03.01 01:10:00;3734,8;3734,8;3734,4;3734,4;0,00028
2019.03.01 01:11:00;3734,4;3734,4;3733,2;3734,3;0,01522
2019.03.01 01:12:00;3734,3;3734,3;3734,1;3734,3;0,00022
2019.03.01 01:13:00;3734,3;3734,5;3734,2;3734,3;0,01022
2019.03.01 01:14:00;3734,3;3734,8;3734,2;3734,8;0,05766
2019.03.01 01:15:00;3734,8;3734,8;3734,3;3734,3;0,00038
2019.03.01 01:16:00;3734,3;3734,5;3734,2;3734,2;0,00026
2019.03.01 01:17:00;3734,1;3734,2;3734,1;3734,2;0,00018
2019.03.01 01:18:00;3734,4;3734,5;3734,4;3734,5;0,0001
2019.03.01 01:19:00;3734,5;3734,5;3733,6;3733,6;0,00024
2019.03.01 01:20:00;3733,6;3733,9;3733,2;3733,4;0,0005
2019.03.01 01:21:00;3733,4;3733,7;3733,3;3733,6;0,00052
2019.03.01 01:22:00;3733,6;3733,6;3733,6;3733,6;0,0003
2019.03.01 01:23:00;3733,6;3733,6;3733,3;3733,6;0,02024
2019.03.01 01:24:00;3733,6;3733,6;3733,4;3733,6;0,0302
2019.03.01 01:25:00;3733,6;3733,6;3733,4;3733,4;0,02764
2019.03.01 01:26:00;3733,4;3733,6;3733,4;3733,6;0,08256
2019.03.01 01:27:00;3733,7;3733,9;3733,4;3733,7;0,11254
2019.03.01 01:28:00;3733,7;3733,9;3733,5;3733,7;0,0803
2019.03.01 01:29:00;3733,7;3733,7;3733,7;3733,7;0,00038
2019.03.01 01:30:00;3733,7;3733,7;3733,6;3733,7;0,0007
2019.03.01 01:31:00;3733,7;3735,6;3733,7;3735,4;0,21766
2019.03.01 01:32:00;3735,5;3737,4;3735,5;3737,4;0,16512
2019.03.01 01:33:00;3737,3;3737,3;3736,8;3736,8;0,01074
